Size,Name,Threads,Mean,Stddev,Min,Max
100000000,TreeStructuredSum,1,375.3878876,0.23867971195596438,375.07725,375.9775
100000000,GlobalSum,2,191.84484139999998,0.9965779548987954,191.21975,194.535875
100000000,TreeStructuredSum,2,192.32485400000002,0.2837196970321213,192.082583,193.031625
100000000,GlobalSum,4,105.0881458,0.09518429613567762,104.993834,105.272375
100000000,TreeStructuredSum,4,105.44220809999999,0.12041151898611917,105.1905,105.572416
100000000,GlobalSum,8,60.9879251,0.7898115900628812,60.54175,63.189584
100000000,TreeStructuredSum,8,61.63751239999999,1.1440685198324443,60.720208,63.577084
100000000,GlobalSum,16,57.992396,2.2336107425291356,54.372959,61.782666
100000000,TreeStructuredSum,16,54.77943319999999,2.015063302617937,52.926875,58.565583
100000000,GlobalSum,32,53.396241800000006,1.8008141763826233,49.977917,56.10775
100000000,TreeStructuredSum,32,54.5771749,1.5636580020698938,50.983958,56.068958
100000000,GlobalSum,64,52.93997900000001,1.8797821348289872,50.158167,56.094333
100000000,TreeStructuredSum,64,50.730749900000006,2.8855609351199507,46.742416,54.429416
100000000,GlobalSum,128,53.32283329999999,1.3883710218318652,51.6335,55.0785
100000000,TreeStructuredSum,128,51.5863623,4.507404697213736,46.982125,57.176041
1000000000,SerialSum,1,3908.487542,0,3908.487542,3908.487542
1000000000,GlobalSum,1,3804.3431208,76.1393916820202,3737.967917,3917.718958
1000000000,TreeStructuredSum,1,3793.6989498999997,71.93882671939917,3754.500917,3937.911292
1000000000,GlobalSum,2,2002.6504207000003,35.739249630397616,1952.166208,2053.60025
1000000000,TreeStructuredSum,2,2043.8202247000002,26.464769242889005,2003.376917,2062.453416
1000000000,GlobalSum,4,1050.3994416,0.17748185364779437,1050.162041,1050.690459
1000000000,TreeStructuredSum,4,1054.7927748999998,0.1941315621567807,1054.507,1055.186666
1000000000,GlobalSum,8,587.728104,1.5888314128986538,586.320958,589.991958
1000000000,TreeStructuredSum,8,591.2629625,3.89578510599591,586.332958,598.667292
1000000000,GlobalSum,16,534.6337292,23.33833458315099,487.635834,563.164083
1000000000,TreeStructuredSum,16,518.4408001,12.862366268227088,497.257375,531.038209
1000000000,GlobalSum,32,506.27654169999994,5.3986480845914055,499.920125,515.574375
1000000000,TreeStructuredSum,32,501.4385042,7.720990894652467,486.029583,509.299208
1000000000,GlobalSum,64,469.2232708,6.2126840798109475,457.650541,477.954958
1000000000,TreeStructuredSum,64,474.3777084,5.295011075199431,468.639708,483.372375
1000000000,GlobalSum,128,467.47934990000005,5.715760340516367,459.939416,473.922333
1000000000,TreeStructuredSum,128,467.78546270000004,5.438941164784429,462.494,481.481292
10000000000,SerialSum,1,190102.814083,0,190102.814083,190102.814083
10000000000,GlobalSum,1,189422.87177899998,2011.5279811606124,186945.399708,193760.6855
10000000000,TreeStructuredSum,1,191597.35259579998,2387.9038566626214,189447.156083,196619.3875
10000000000,GlobalSum,2,126649.752446,5998.428982152581,111251.147541,131819.68775
10000000000,TreeStructuredSum,2,132647.13530430003,552.3229639466159,132053.126334,133966.831875
10000000000,GlobalSum,4,81124.41567940002,741.9143859410389,80201.165833,82543.058375
10000000000,TreeStructuredSum,4,82013.95477490002,1707.2511284983038,80310.992041,84457.334916
10000000000,GlobalSum,8,57701.9317666,713.9562916011258,57002.929667,59563.366208
10000000000,TreeStructuredSum,8,57696.6152707,378.47284006778773,57047.019875,58280.599125
10000000000,GlobalSum,16,47224.99075430001,802.9877373822311,46485.577167,49024.352209
10000000000,TreeStructuredSum,16,46850.523729,267.9452617495254,46368.36675,47236.636833
10000000000,GlobalSum,32,44072.41170420001,522.5886077020403,43113.684584,45009.519375
10000000000,TreeStructuredSum,32,43797.394321,438.1692636779653,43321.092667,44949.25025
10000000000,GlobalSum,64,36309.7149667,6167.55839646624,31510.176416,50387.957542
10000000000,TreeStructuredSum,64,34555.823866800005,4109.210641030978,31856.491375,44328.402417
10000000000,GlobalSum,128,34882.0863458,4560.677444615222,32077.226834,45621.427125
10000000000,TreeStructuredSum,128,33370.5320128,2037.1473201108993,31987.719417,38549.433334
